item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
45430,2018,45,9,660.0,26.5,12.0,0.0,100.0,2160.0,,63.0,43.0,5.0,5.0
45432,2018,45,9,660.0,26.5,12.5,0.0,100.0,2330.0,,63.0,43.0,7.0,3.0
45433,2018,45,9,660.0,26.5,12.5,0.0,100.0,2310.0,,62.0,43.0,10.0,3.0
45434,2018,45,9,650.0,26.5,12.0,0.0,100.0,2230.0,,61.0,43.0,4.0,6.0
45435,2018,45,9,700.0,30.0,10.5,0.0,90.0,1975.0,,69.0,38.0,13.0,9.0
45437,2018,45,9,700.0,30.0,11.0,0.0,90.0,2145.0,,69.0,38.0,15.0,7.0
45438,2018,45,9,700.0,30.0,11.0,0.0,90.0,2125.0,,68.0,39.0,18.0,7.0
45439,2018,45,9,690.0,30.0,10.5,0.0,90.0,2045.0,,67.0,38.0,12.0,10.0
45440,2018,45,9,810.0,39.0,19.0,0.5,125.0,2440.0,,67.0,48.0,9.0,6.0
45442,2018,45,9,810.0,39.0,19.5,0.5,125.0,2610.0,,67.0,48.0,11.0,4.0
45443,2018,45,9,810.0,39.0,19.5,0.5,125.0,2590.0,,66.0,48.0,14.0,4.0
45444,2018,45,9,800.0,39.0,19.0,0.5,125.0,2510.0,,65.0,48.0,8.0,7.0
45445,2018,45,9,760.0,33.0,15.0,0.5,150.0,2250.0,,69.0,50.0,10.0,6.0
45447,2018,45,9,760.0,33.0,15.5,0.5,150.0,2420.0,,69.0,50.0,12.0,4.0
45448,2018,45,9,760.0,33.0,15.5,0.5,150.0,2400.0,,68.0,50.0,15.0,4.0
45449,2018,45,9,750.0,33.0,15.0,0.5,150.0,2320.0,,67.0,50.0,9.0,7.0
45450,2018,45,9,900.0,55.0,16.0,0.5,110.0,2035.0,,62.0,42.0,8.0,6.0
45452,2018,45,9,900.0,55.0,16.5,0.5,110.0,2205.0,,62.0,42.0,10.0,4.0
45453,2018,45,9,900.0,55.0,16.5,0.5,110.0,2185.0,,61.0,42.0,13.0,4.0
45454,2018,45,9,890.0,55.0,16.0,0.5,110.0,2105.0,,60.0,42.0,7.0,7.0
45455,2018,45,9,910.0,56.5,17.0,0.0,110.0,2210.0,,65.0,36.0,9.0,6.0
45457,2018,45,9,910.0,56.5,17.5,0.0,110.0,2600.0,,70.0,36.0,13.0,5.0
45458,2018,45,9,910.0,56.5,17.5,0.0,110.0,2580.0,,69.0,36.0,16.0,5.0
45459,2018,45,9,900.0,56.5,17.0,0.0,110.0,2500.0,,68.0,36.0,10.0,8.0
45460,2018,45,9,760.0,29.0,12.5,0.0,140.0,4660.0,,76.0,50.0,10.0,6.0
45462,2018,45,9,760.0,29.0,13.0,0.0,140.0,4830.0,,76.0,50.0,12.0,4.0
45463,2018,45,9,760.0,29.0,13.0,0.0,140.0,4810.0,,75.0,50.0,15.0,4.0
45464,2018,45,9,750.0,29.0,12.5,0.0,140.0,4730.0,,74.0,50.0,9.0,7.0
45465,2018,45,9,960.0,54.5,17.0,0.0,165.0,3655.0,,70.0,48.0,12.0,5.0
45467,2018,45,9,960.0,54.5,17.5,0.0,165.0,3835.0,,70.0,48.0,14.0,3.0
45468,2018,45,9,960.0,54.5,17.5,0.0,165.0,3805.0,,69.0,48.0,17.0,3.0
45469,2018,45,9,950.0,54.5,17.0,0.0,165.0,3735.0,,68.0,48.0,11.0,6.0
45470,2018,45,9,970.0,60.0,20.5,0.0,140.0,2330.0,,63.0,44.0,14.0,3.0
45471,2018,45,9,960.0,60.0,20.5,0.0,140.0,2250.0,,62.0,44.0,8.0,6.0
45472,2018,45,9,930.0,54.0,16.5,0.0,165.0,1990.0,,66.0,46.0,10.0,5.0
45474,2018,45,9,930.0,54.0,17.0,0.0,165.0,2160.0,,66.0,46.0,12.0,3.0
45475,2018,45,9,930.0,54.0,17.0,0.0,165.0,2140.0,,65.0,46.0,15.0,3.0
45476,2018,45,9,920.0,54.0,16.5,0.0,165.0,2060.0,,64.0,46.0,9.0,6.0
4548,2018,81,3,520.0,23.0,7.0,1.0,65.0,860.0,,53.0,27.0,11.0,3.0
45484,2018,45,9,220.0,5.0,2.5,0.0,25.0,770.0,,32.0,12.0,3.0,2.0
45485,2018,45,9,230.0,5.0,2.5,0.0,25.0,770.0,,34.0,13.0,3.0,3.0
45486,2018,45,9,220.0,4.0,2.0,0.0,20.0,745.0,,31.0,15.0,3.0,2.0
45487,2018,45,9,240.0,4.5,2.0,0.0,20.0,745.0,,33.0,16.0,3.0,3.0
45488,2018,45,9,250.0,8.5,3.5,0.0,20.0,680.0,,32.0,10.0,3.0,2.0
45489,2018,45,9,260.0,9.0,3.5,0.0,20.0,680.0,,34.0,11.0,3.0,3.0
4549,2018,81,3,540.0,22.0,7.0,1.0,65.0,910.0,,57.0,27.0,14.0,3.0
45490,2018,45,10,210.0,3.0,0.5,0.0,15.0,1490.0,,31.0,15.0,4.0,13.0
45491,2018,45,10,140.0,2.0,0.0,0.0,10.0,990.0,,21.0,10.0,3.0,9.0
45492,2018,45,10,190.0,9.0,3.0,0.5,20.0,1540.0,,22.0,7.0,0.0,1.0
45493,2018,45,10,130.0,6.0,2.0,0.0,15.0,1030.0,,15.0,5.0,0.0,0.0
45494,2018,45,10,210.0,14.0,8.0,0.0,40.0,1660.0,,12.0,6.0,3.0,1.0
45495,2018,45,10,140.0,9.0,5.0,0.0,25.0,1100.0,,8.0,4.0,2.0,0.0
